,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000163,"ASSOCIACAO PORTUGUESA DE SOCORROS MUTUOS",1915-05-10,,"Ltd by guarantee"
2,0000162,"CANTON SINCERE COMPANY LIMITED (THE)",1915-04-29,1920-04-05,"Private, ltd by shares"
3,0000173,"CHEONG YUE STEAMSHIP COMPANY LTD (THE)",1915-09-27,1927-12-03,"Private, ltd by shares"
4,0000166,"CHINA PING ON MARINE &amp; FIRE INSURANCE COMPANY LIMITED (THE)",1915-06-16,1923-06-09,"Private, ltd by shares"
5,0000156,"CHINESE FOREIGN KNITTING COMPANY OF CHINA LIMITED (THE)",1915-03-16,1956-02-17,"Private, ltd by shares"
6,0000161,"CHUEN ON STEAMBOAT COMPANY LTD (THE)",1915-04-27,1956-02-17,"Private, ltd by shares"
7,0000164,"COLIN MACKENZIE &amp; COMPANY LIMITED",1915-04-11,2002-05-17,"Private, ltd by shares"
8,0000177,"HONGKONG &amp; PARCEL EXPRESS STORAGE AND TRADING COMPANY LIMITED (THE)",1915-10-29,1921-09-12,"Private, ltd by shares"
9,0000154,"HONGKONG NIHONJIN SHOKOSHA LTD (THE)",1915-01-23,1956-02-17,"Private, ltd by shares"
10,0000178,"HONTZ AND COMPANY LIMITED",1915-11-04,1929-08-30,"Private, ltd by shares"
11,0000174,"HUNG TAT COMPANY LIMITED (THE)",1915-10-19,1922-11-12,"Private, ltd by shares"
12,0000181,"KO CHOW STEAMSHIP COMPANY LTD. (THE)",1915-12-17,1926-02-05,"Private, ltd by shares"
13,0000165,"KWONG HUNG INSURANCE COMPANY LTD.",1915-05-22,1921-06-21,"Private, ltd by shares"
14,0000157,"LUEN CHEONG MUTUAL FIRE &amp; MARINE INSURANCE COMPANY LIMITED (THE)",1915-03-31,1917-05-25,"Private, ltd by shares"
15,0000172,"LUEN ON FIRE &amp; MARINE INSURANCE COMPANY LIMITED (THE)",1915-09-03,1984-04-19,"Private, ltd by shares"
16,SO9000081,"MOTHER SUPERIOR OF THE SOEURS DE SAINT PAUL DE CHARTRES (HONG KONG) (THE)",1915-05-07,,"Inc by ordinance"
17,SO9000020,"MOTHER SUPERIORESS OF THE DAUGHTERS OF CHARITY OF THE CANOSSIAN INSTITUTE (HONG KONG) (THE)",1915-10-29,,"Inc by ordinance"
18,0000171,"N. Y. SAN &amp; COMPANY LIMITED",1915-09-01,1928-11-14,"Private, ltd by shares"
19,0000175,"NANYANG MARINE &amp; FIRE INSURANCE &amp; EXCHANGE COMPANY OF HONGKONG LIMITED (THE)",1915-10-22,1918-07-31,"Private, ltd by shares"
20,0000160,"ORIENTAL PETROLEUM COMPANY LIMITED (THE)",1915-04-27,1917-09-01,"Private, ltd by shares"
21,0000179,"PACIFIC TRANSPORTATION COMPANY LTD (THE)",1915-11-17,1918-07-08,"Private, ltd by shares"
22,0000169,"S. J. DAVID &amp; COMPANY LIMITED",1915-07-22,1927-08-02,"Private, ltd by shares"
23,0000158,"SHANGHAI ENTERPRISES LIMITED (d2010-06-15)",1915-03-23,2010-06-15,"Public, ltd by shares"
24,0000167,"SIEMENS CHINA ELECTRIC ENGINEERING COMPANY (HONGKONG) LIMITED",1915-06-26,1919-11-18,"Private, ltd by shares"
25,0000168,"SINCERE INSURANCE &amp; INVESTMENT COMPANY, LIMITED (THE)
先施保險置業有限公司",1915-07-12,,"Public, ltd by shares"
26,0000176,"STAR MANUFACTURING COMPANY LTD. (THE)",1915-10-25,1920-06-29,"Private, ltd by shares"
27,0000170,"TUNG TING HOTEL COMPANY LTD (THE)",1915-07-27,1931-05-09,"Private, ltd by shares"
28,0000180,"WESTERN HOTEL COMPANY LIMITED (THE)",1915-11-29,1922-09-12,"Private, ltd by shares"
29,0000155,"WING ON COMPANY LIMITED (THE)
永安有限公司",1915-01-28,,"Private, ltd by shares"
30,0000182,"WING ON FIRE &amp; MARINE (2011) LIMITED (THE)
永安水火(2011)有限公司",1915-12-31,,"Public, ltd by shares"
31,0000159,"YUET ON BANKING COMPANY LIMITED (THE)",1915-04-26,1923-05-11,"Private, ltd by shares"
