,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000868,"ASIA MIRRORS MANUFACTURING COMPANY LIMITED (THE)",1929-03-27,1932-06-10,"Private, ltd by shares"
2,0000880,"BLOOD PROTECTION COMPANY, LIMITED
保血有限公司",1929-06-27,,"Private, ltd by shares"
3,0000856,"CHINA ADVERTISING &amp; PRESS COMPANY LIMITED",1929-01-17,1932-02-20,"Private, ltd by shares"
4,0000894,"CHINA ENTERTAINMENT AND LAND INVESTMENT COMPANY, LIMITED
中華娛樂置業有限公司",1929-10-21,,"Private, ltd by shares"
5,0000901,"CHOO YICK STEAMSHIP COMPANY, LIMITED (THE)",1929-11-25,1933-10-13,"Private, ltd by shares"
6,0000900,"CHUNG SHAN HOTEL COMPANY, LIMITED (THE)",1929-11-25,1936-10-06,"Private, ltd by shares"
7,0000891,"CHUNG WA CITIZEN BANK LIMITED",1929-09-03,1930-03-06,"Private, ltd by shares"
8,0000890,"CHUNG WAH YAT PO LIMITED",1929-09-02,1933-12-29,"Private, ltd by shares"
9,0000858,"CHUP YICK STEAMSHIP COMPANY, LIMITED",1929-01-19,1934-12-05,"Private, ltd by shares"
10,0000897,"FANLING HUNT AND RACE CLUB (THE)",1929-11-07,1954-01-22,"Ltd by guarantee"
11,0000881,"FAR EASTERN ADVERTISING COMPANY (HONG KONG) LIMITED (THE)",1929-06-29,1931-08-14,"Private, ltd by shares"
12,0000888,"FOOK ON STEAMSHIP COMPANY, LIMITED (THE)",1929-08-09,1951-03-29,"Private, ltd by shares"
13,0000876,"GLOBE AUTOMOBILE COMPANY, LIMITED (THE)",1929-05-22,1932-01-19,"Private, ltd by shares"
14,0000857,"H. Y. &amp; H. T. LEE BROTHERS &amp; COMPANY LIMITED
裕大有限公司",1929-01-17,,"Private, ltd by shares"
15,0000885,"HAU FUK INVESTMENT COMPANY, LIMITED (THE)",1929-07-30,1956-02-17,"Private, ltd by shares"
16,SO0000027,"HONG KONG AND SHANGHAI BANKING CORPORATION (THE)",1929-05-17,,"Inc by ordinance"
17,0000873,"HONG KONG AND SHANGHAI TAXICAB COMPANY, LIMITED (THE)",1929-05-03,,"Private, ltd by shares"
18,0000854,"HONGKONG PRINTING PRESS LIMITED (THE)",1929-01-11,1950-03-16,"Private, ltd by shares"
19,0000883,"HOP HING INVESTMENT COMPANY, LIMITED (THE)",1929-07-18,1938-08-11,"Private, ltd by shares"
20,0000909,"INVESTMENT CORPORATION LIMITED (d1955-06-17)",1929-12-31,1955-06-17,"Private, ltd by shares"
21,0000869,"KUI ON STEAMSHIP COMPANY LIMITED (THE)",1929-04-03,1956-02-17,"Private, ltd by shares"
22,0000860,"KUNG PING POUETRY COMPANY, LIMITED (THE)",1929-02-04,1935-12-11,"Private, ltd by shares"
23,0000907,"KWAN YICK MANUFACTURERS LIMITED (THE)",1929-12-28,1956-02-17,"Private, ltd by shares"
24,0000889,"KWOK FUNG COMPANY, LIMITED (THE)",1929-08-10,1931-10-23,"Private, ltd by shares"
25,0000886,"KWONG KEE INVESTMENT COMPANY, LIMITED (THE)",1929-07-30,1935-09-13,"Private, ltd by shares"
26,0000887,"LEE YUEN HONG LIMITED (d1934-04-27)",1929-08-03,1934-04-27,"Private, ltd by shares"
27,0000892,"LUEN YIK TRADING COMPANY LIMITED (THE)",1929-09-13,1933-12-12,"Private, ltd by shares"
28,0000898,"MING SING THEATRE, LIMITED",1929-11-18,1956-02-17,"Private, ltd by shares"
29,0000882,"MOO CHEONG RESTAURANT, LIMITED (THE)",1929-07-03,1978-09-13,"Private, ltd by shares"
30,0000877,"MOW HING STEAMSHIP COMPANY LIMITED (THE)",1929-05-23,1931-07-10,"Private, ltd by shares"
31,0000871,"NING YEUNG LAND INVESTMENT COMPANY LIMITED (THE)",1929-05-01,1935-05-03,"Ltd by guarantee"
32,0000893,"ON LOK COMPANY LIMITED (THE) (b1929-09-30)",1929-09-30,1934-10-19,"Private, ltd by shares"
33,0000904,"ON LOK COMPANY LIMITED (THE) (b1929-12-20)",1929-12-20,1934-10-19,"Private, ltd by shares"
34,0000875,"ORIENTAL COMMERCIAL COMPANY, LIMITED",1929-05-18,1934-04-27,"Private, ltd by shares"
35,SO9000049,"PROCURATOR IN HONG KONG OF THE PORTUGUESE PROVINCE OF THE JESUIT ORDER (THE)",1929-12-06,,"Inc by ordinance"
36,0000870,"SAI NAM STEAMSHIP COMPANY LIMITED (THE)",1929-04-08,1931-05-22,"Private, ltd by shares"
37,0000862,"SAM WO HING AND COMPANY",1929-02-08,1931-08-30,"Private, ltd by shares"
38,0000874,"SAN MIN MANUFACTURERS LIMITED",1929-05-09,1930-07-25,"Private, ltd by shares"
39,0000903,"SANG WO COMPANY, LIMITED (THE)",1929-12-16,1951-03-22,"Private, ltd by shares"
40,0000864,"SOUTH CHINA NEWSPAPERS LIMITED (THE)",1929-02-09,1951-03-16,"Private, ltd by shares"
41,0000902,"SUN KIE YUEN RESTAURANT LIMITED (THE)",1929-12-02,1956-02-17,"Private, ltd by shares"
42,0000878,"T. C. GRIPPITH, LIMITED",1929-05-29,1930-04-29,"Private, ltd by shares"
43,0000908,"TAI PING RESTAURANT COMPANY LIMITED (THE)",1929-12-28,1966-03-13,"Private, ltd by shares"
44,0000905,"TAK WA LAND INVESTMENT COMPANY LIMITED (THE)",1929-12-27,1951-06-30,"Private, ltd by shares"
45,0000872,"TAT CHE STEAMSHIP COMPANY, LIMITED (THE)",1929-05-01,1931-07-17,"Private, ltd by shares"
46,SO0000048,"TRUSTEES OF THE CHATER MASONIC SCHOLARSHIP FUND (THE)",1929-11-01,,"Inc by ordinance"
47,0000859,"TSIK SIN INVESTMENT AND LOAN COMPANY LIMITED (THE)",1929-01-22,1965-02-26,"Private, ltd by shares"
48,0000884,"TSUNG SUN COMPANY, LIMITED (THE)",1929-07-25,1930-10-22,"Private, ltd by shares"
49,0000906,"TUNG WA LAND INVESTMENT COMPANY LIMITED (THE)",1929-12-27,1948-06-12,"Private, ltd by shares"
50,0000863,"TUNG YAT RESTAURANT LIMITED (THE)",1929-02-09,1934-10-16,"Private, ltd by shares"
51,0000867,"TUNGAR PRESS COMPANY LIMITED (THE)",1929-03-25,1980-11-28,"Private, ltd by shares"
52,0002032,"UNITED DISTILLERS &amp; VINTNERS (DORSET HOUSE) LIMITED",1929-05-31,2004-06-02,"Private, ltd by shares"
53,0000879,"UNITED POWERS COMPANY LIMITED (THE)",1929-06-12,1933-03-13,"Private, ltd by shares"
54,0000899,"VIBRO (H.K.) LIMITED
惠保(香港)有限公司",1929-11-23,,"Public, ltd by shares"
55,0000853,"WALLACE D. HAWKES (HONG KONG) LIMITED",1929-01-04,1931-03-27,"Private, ltd by shares"
56,0000861,"WING HANG ON KEE STEAMSHIP COMPANY, LIMITED",1929-02-05,1931-03-20,"Private, ltd by shares"
57,0000866,"WO PING PERFUMERY AND DRUG COMPANY LIMITED (THE)",1929-03-16,1950-10-20,"Private, ltd by shares"
58,0000896,"WO PING STEAMSHIP COMPANY, LIMITED",1929-11-01,1938-08-11,"Private, ltd by shares"
59,0000865,"WO PING TUNG KEE RESTAURANT LIMIITED (THE)",1929-03-15,1931-01-16,"Private, ltd by shares"
60,0000855,"YEE ON TONG COMPANY LIMITED (THE)",1929-01-16,1935-05-17,"Private, ltd by shares"
61,0000895,"YUET TUNG MA PAK LEUNG",1929-10-28,1956-02-17,"Private, ltd by shares"
