,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000134,"A. B. MOULDER &amp; COMPANY LIMITED",1913-09-27,1935-04-04,"Private, ltd by shares"
2,0000135,"ANDERSON MUSIC COMPANY LIMITED (THE)",1913-10-27,1952-05-30,"Private, ltd by shares"
3,0000128,"CHEN KWONG COMPANY LIMITED (THE)",1913-08-06,1926-02-16,"Private, ltd by shares"
4,0000133,"EASTERN CINEMATOGRAPH COMPANY LIMITED",1913-09-27,1924-05-02,"Private, ltd by shares"
5,0000127,"HARPER AND COMPANY LIMITED",1913-06-10,1927-10-18,"Private, ltd by shares"
6,0000130,"JAPAN GAZETTE COMPANY LTD (THE)",1913-09-02,1926-07-30,"Private, ltd by shares"
7,0000132,"KAM HING KNITTING COMPANY LIMITED (d1935-08-31)",1913-09-25,1935-08-31,"Private, ltd by shares"
8,0000131,"KUNG WO HOTEL COMPANY LTD (THE)",1913-09-11,1928-08-31,"Private, ltd by shares"
9,0000126,"MACKINTOSH'S LIMITED",1913-05-05,,"Private, ltd by shares"
10,0000125,"MEXICO STEAMSHIP COMPANY LIMITED (THE)",1913-05-01,1956-02-17,"Private, ltd by shares"
11,0000124,"NICKEL AND LYONS LIMITED",1913-03-20,1956-02-17,"Private, ltd by shares"
12,0000129,"RUDOLF WOLFF &amp; KEW LIMITED",1913-08-27,1950-06-02,"Private, ltd by shares"
13,0000136,"SEDAN COMPANY LIMITED (THE)",1913-11-28,1928-07-20,"Private, ltd by shares"
