,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000110,"CHING TIN HOTEL COMPANY LIMITED",1911-09-16,1929-04-26,"Private, ltd by shares"
2,0000114,"CLUB DE RECREIO",1911-11-27,,"Ltd by guarantee"
3,0000109,"HONG KONG GOLF CLUB (THE)
香港哥爾夫球會",1911-08-17,,"Ltd by guarantee"
4,0000105,"HONGKONG NEW THEATRE CO. LTD (THE)",1911-01-19,1935-09-26,"Private, ltd by shares"
5,0000113,"KWONG HIP LUNG COMPANY LIMITED (THE)",1911-11-07,1935-02-17,"Private, ltd by shares"
6,0000111,"LUN TAI MUTUAL FIRE &amp; MARINE INSURANCE COMPANY LIMITED (THE)",1911-09-20,2010-06-15,"Public, ltd by shares"
7,0000106,"MANILA WINE MERCHANTS CO. LTD. (THE)",1911-03-17,1938-04-12,"Private, ltd by shares"
8,0000108,"TSZ TAI ESTATE &amp; AGENCY CO. LTD.",1911-03-30,1921-06-16,"Private, ltd by shares"
9,0000112,"UNITED SERVICES RECREATION CLUB (THE)",1911-10-20,1952-11-07,"Ltd by guarantee"
10,0000107,"YAN LAI ESTATE &amp; AGENCY CO. LTD",1911-03-30,1921-06-16,"Private, ltd by shares"
