,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000270,"ANGLO-RUSSIAN TRADING AND INDUSTRIAL CO. `BRITORUSSE', LTD.",1919-04-29,1922-12-08,"Private, ltd by shares"
2,0000306,"ANGLO-SIBERIAN INTERNATIONAL BANK, LIMITED (THE)",1919-12-31,1921-08-26,"Private, ltd by shares"
3,0000271,"ASIATIC STEAMSHIP CO. OF CANTON, LTD. (THE)",1919-04-29,1920-08-17,"Private, ltd by shares"
4,0000290,"ASIATIC TRADING COMPANY, LIMITED (THE)",1919-10-09,1931-10-23,"Private, ltd by shares"
5,0000347,"BRITISH AMERICAN TOBACCO CO. (CHINA) LIMITED",1919-02-27,1922-05-02,"Private, ltd by shares"
6,0000275,"BRITISH EASTERN ASIATIC CO. LTD. (THE)",1919-05-23,1919-06-17,"Private, ltd by shares"
7,0001415,"BRITISH-AMERICAN TOBACCO COMPANY (HONG KONG) LIMITED",1919-02-27,,"Private, ltd by shares"
8,0000291,"BRITTO AND COMPANY, LIMITED",1919-10-09,1925-04-17,"Private, ltd by shares"
9,0000272,"C. E. RICHARDSON &amp; CO. (SWATOW) LTD.",1919-05-03,1926-05-21,"Private, ltd by shares"
10,0000286,"CANTON AND SOUTH CHINA MINING COMPANY, LIMITED (THE)",1919-09-09,1922-01-26,"Private, ltd by shares"
11,0000300,"CHEE SHING STEAMSHIP COMPANY, LIMITED (THE)",1919-11-12,1924-06-12,"Private, ltd by shares"
12,0000293,"CHERRY EMBROIDERY COMPANY, LIMITED",1919-10-21,1920-09-23,"Private, ltd by shares"
13,0000269,"CHI CHUNG DAILY NEWS LTD. (THE)",1919-04-25,1921-05-03,"Private, ltd by shares"
14,0000273,"CHINA AGENCY &amp; TRADING CO. OF HONGKONG, LTD. (THE)",1919-05-08,1934-10-09,"Private, ltd by shares"
15,0000279,"CHINA COMMERCIAL COMPANY, LIMITED",1919-07-18,1956-02-17,"Private, ltd by shares"
16,0000264,"CHINA MINERAL COMPANY LIMITED",1919-01-22,1922-10-19,"Private, ltd by shares"
17,0000304,"CHINA OVERSEAS TRADING COMPANY, (1919) LIMITED",1919-12-23,1930-04-25,"Private, ltd by shares"
18,0000284,"CHINA VEGETABLE OIL COMPANY, LIMITED (THE)",1919-09-05,1923-03-09,"Private, ltd by shares"
19,0000280,"CHUNG KWOK HONG LEE STEAMSHIP, CO. LTD. (THE)",1919-07-29,1921-11-15,"Private, ltd by shares"
20,0000282,"CHUNG KWOK PO LEE STEAMSHIP CO. LTD. (THE)",1919-08-08,1922-06-03,"Private, ltd by shares"
21,0000299,"ENGINEERING AND INDUSTRIAL COMPANY, LIMITED (THE)",1919-11-04,1924-10-17,"Private, ltd by shares"
22,0000305,"ENGLISH ELECTRIC COMPANY, LIMITED (THE)",1919-12-24,1931-02-13,"Private, ltd by shares"
23,0000303,"FOO SANG HONG, LIMITED (THE)",1919-12-12,1922-09-13,"Private, ltd by shares"
24,0000278,"GENERAL TRADING COMPANY, LIMITED (THE)",1919-07-12,1923-02-09,"Private, ltd by shares"
25,0000297,"GLOBE FURNISHING AND EXPORT COMPANY, LTD (THE)",1919-10-24,1922-04-25,"Private, ltd by shares"
26,0000260,"H. STEPHENS AND COMPANY LIMITED",1919-01-07,1924-04-28,"Private, ltd by shares"
27,0000298,"HAFIC LIMITED",1919-10-29,1934-09-30,"Private, ltd by shares"
28,0000263,"HASTINGS, HODGE AND COMPANY (SHANGHAI) LTD.",1919-01-21,1922-11-24,"Private, ltd by shares"
29,0000302,"HASTINGS, HODGE AND COMPANY LIMITED",1919-12-11,1956-02-17,"Private, ltd by shares"
30,0000288,"KARSTEN LARSSEN &amp; CO. (H.K.) LIMITED",1919-09-15,1988-08-26,"Private, ltd by shares"
31,0000261,"KING WO STEAMSHIP COMPANY, LIMITED (THE)",1919-01-16,1922-10-13,"Private, ltd by shares"
32,0000281,"KWONGTUNG TRAMWAY COMPANY, LIMITED (THE)",1919-08-05,1935-03-22,"Private, ltd by shares"
33,0000283,"L. SUZOR AND COMPANY, LIMITED",1919-08-15,1923-05-11,"Private, ltd by shares"
