,Reg no.,Name,Incorp-orated,Dissolved,Type
1,0000209,"ANGLO FRENCH STEAM NAVIGATION COMPANY OF HONGKONG LIMITED (THE)",1916-11-11,1920-06-23,"Private, ltd by shares"
2,0000201,"AUSTRALIAN &amp; ORIENTAL TRADING COMPANY LTD",1916-07-15,1951-01-26,"Private, ltd by shares"
3,0000221,"CHINA MINING &amp; METAL COMPANY LTD. (THE)",1916-04-14,1928-11-02,"Private, ltd by shares"
4,0000204,"CHINA MINING &amp; SMELTING COMPANY LTD.",1916-08-09,1922-01-06,"Private, ltd by shares"
5,0000188,"CHINA PACIFIC STEAMSHIP CO. LTD (THE)",1916-03-23,1925-02-06,"Private, ltd by shares"
6,0000197,"CHOY KEE STEAM BAKERY AND CONFECTIONERY COMPANY LIMITED (THE)",1916-05-20,1920-09-28,"Private, ltd by shares"
7,0000190,"CO-OPERATIVE TRADING ASSOCIATION LIMITED (THE)",1916-03-29,1925-12-11,"Private, ltd by shares"
8,0000196,"FIGUEREAS STEAMSHIP COMPANY LTD (THE)",1916-05-17,1922-09-10,"Private, ltd by shares"
9,0000184,"HAUROTO STEAMSHIP COMPANY LTD (THE)",1916-01-11,1925-09-26,"Private, ltd by shares"
10,0000186,"HELENA MAY INSTITUTE FOR WOMEN (THE)",1916-01-27,1947-01-16,"Private, ltd by shares"
11,0000194,"HONG NIN FIRE &amp; MARINE INSURANCE COMPANY LIMITED (THE)",1916-04-26,1951-08-08,"Private, ltd by shares"
12,0000183,"HONGKONG MERCANTILE COMPANY LTD (THE)",1916-01-07,1922-11-28,"Private, ltd by shares"
13,0000195,"INNAMICKA STEAMSHIP COMPANY LTD (THE)",1916-05-05,1926-10-30,"Private, ltd by shares"
14,0000211,"JOHN MANNERS AND COMPANY LIMITED",1916-12-27,,"Private, ltd by shares"
15,0000191,"KAI TACK LAND INVESTMENT CO. LTD. (THE)",1916-04-10,1936-10-13,"Private, ltd by shares"
16,0000185,"KUI YIP LAND INVESTMENT AND FARMING COMPANY LIMITED (THE)",1916-01-25,1989-12-28,"Private, ltd by shares"
17,0000206,"LEUNG YICK STEAMSHIP COMPANY LTD. (THE)",1916-09-21,1921-05-31,"Private, ltd by shares"
18,0000192,"LUN FAT SHING YARN COMPANY LTD (THE)",1916-04-17,1918-04-15,"Private, ltd by shares"
19,0000205,"ON YIK LUNG KEE STEAMSHIP CO. LTD (THE)",1916-09-01,1920-04-15,"Private, ltd by shares"
20,0000193,"PO SHUN STEAMSHIP COMPANY LIMITED (THE)",1916-04-20,1925-02-01,"Private, ltd by shares"
21,0000200,"SHING LEE CHEONG COMPANY LIMITED (THE)",1916-07-14,2004-03-05,"Private, ltd by shares"
22,0000198,"SOUTH CHINA INSURANCE COMPANY, LIMITED (THE)
南華保險有限公司",1916-06-13,1999-03-04,"Private, ltd by shares"
23,0000202,"STANDARD TRANSPORTATION COMPANY LTD",1916-08-02,1951-10-18,"Private, ltd by shares"
24,0000189,"SUN KWONG HOP COMPANY LIMITED (THE)",1916-03-27,1937-03-09,"Private, ltd by shares"
25,0000208,"TAI KWONG NEWSPAPER &amp; PRINTING CO. LTD. (THE)",1916-10-06,1950-04-14,"Private, ltd by shares"
26,0000203,"TAI WOO HOTEL LIMITED (THE)",1916-08-03,1930-12-25,"Private, ltd by shares"
27,0000199,"TUNG AH KNITTING COMPANY LIMITED (THE)",1916-06-15,1956-02-17,"Private, ltd by shares"
28,0000210,"WING ON COMPANY (SHANGHAI) LTD. (THE)",1916-12-23,1950-10-27,"Private, ltd by shares"
29,0000207,"WO FAT STEAMSHIP COMPANY LTD (THE)",1916-10-02,1930-12-12,"Private, ltd by shares"
30,0000187,"YING FAT UN COMPANY LIMITED",1916-02-26,1922-02-15,"Private, ltd by shares"
