,Reg no.,Name,Incorp-orated,Dissolved,Type
1,2428316,"BROOKCORP ASSOCIATES LIMITED",2016-09-17,2019-05-31,"Private, ltd by shares"
2,2428321,"CHEMPLEX UNIVERSAL LIMITED",2016-09-17,,"Private, ltd by shares"
3,2428313,"CORPGROUP UNIVERSAL LIMITED",2016-09-17,,"Private, ltd by shares"
4,2428319,"DALEWOOD SYSTEMS LIMITED",2016-09-17,2019-05-31,"Private, ltd by shares"
5,2428320,"HALENBERG MANAGEMENT LIMITED",2016-09-17,2019-05-31,"Private, ltd by shares"
6,2428312,"HEMINGTON SOLUTIONS LIMITED",2016-09-17,2019-05-31,"Private, ltd by shares"
7,2428318,"HILLBORN LIMITED",2016-09-17,2019-05-31,"Private, ltd by shares"
8,2428317,"INTERPLAN INTERTRADE LIMITED",2016-09-17,2019-05-31,"Private, ltd by shares"
9,2428315,"MARSHDALE VENTURES LIMITED",2016-09-17,,"Private, ltd by shares"
10,2428314,"ROBEX MANAGEMENT LIMITED",2016-09-17,2019-05-31,"Private, ltd by shares"
